Nr.,Navn,km2,1980,1990,2000,2006,2014,2018,2019,2020,2021,indb/km2,Region
1,København,"86,60",498.850,466.723,495.699,501.158,572.287,613.288,623.404,632.340,638.117,7369,Hovedstaden
2,Aarhus,"467,90",244.839,261.437,284.846,295.513,323.477,340.421,345.332,349.983,352.751,754,Midtjylland
3,Aalborg,"1137,40",153.948,155.019,161.161,193.529,205.630,213.558,215.312,217.075,219.487,193,Nordjylland
4,Odense,"305,60",168.528,176.133,183.912,186.595,195.908,202.348,204.182,204.895,205.509,672,Syddanmark
5,Vejle,"1058,40",49.471,51.263,54.136,103.027,110.057,114.140,114.830,115.748,116.992,111,Syddanmark
6,Esbjerg,"795,10",79.310,81.504,82.949,114.381,115.272,116.032,115.652,115.483,115.579,145,Syddanmark
7,Frederiksberg,"8,70",88.287,85.611,90.327,91.855,102.658,104.410,103.940,104.305,103.677,11917,Hovedstaden
8,Randers,"747,80",62.486,61.020,61.983,92.500,96.502,98.265,97.909,97.805,98.190,131,Midtjylland
9,Viborg,"1408,90",38.757,39.395,42.107,90.518,94.788,96.883,97.113,96.921,96.679,69,Midtjylland
10,Silkeborg,"850,30",46.774,48.280,52.360,85.376,89.950,92.024,93.054,94.026,95.488,112,Midtjylland
11,Kolding,"604,40",55.769,57.285,61.573,86.468,90.279,92.515,92.893,93.175,93.161,154,Syddanmark
12,Horsens,"519,40",54.533,55.210,56.803,77.790,86.083,89.598,90.370,90.966,92.229,178,Midtjylland
13,Herning,"1321,10",56.033,56.687,58.016,83.330,86.929,88.733,88.917,89.127,89.238,68,Midtjylland
14,Roskilde,"211,80",48.746,49.081,52.572,80.455,84.471,87.382,87.577,87.914,88.889,420,Sjælland
15,Næstved,"676,80",45.237,45.175,46.536,79.284,81.530,82.937,82.991,83.143,83.181,123,Sjælland
16,Slagelse,"568,00",33.622,34.279,36.463,76.519,77.187,78.968,79.073,79.073,79.122,139,Sjælland
17,Gentofte,"25,60",67.300,65.303,67.957,68.623,74.644,75.803,75.176,74.830,74.550,2912,Hovedstaden
18,Sønderborg,"496,50",27.790,28.291,30.011,76.598,75.221,74.650,74.561,74.220,73.831,149,Syddanmark
19,Holbæk,"577,20",29.578,31.151,33.864,67.621,68.979,70.983,71.297,71.541,71.913,125,Sjælland
20,Gladsaxe,"24,90",64.954,60.882,61.867,61.735,66.925,69.484,69.681,69.262,69.200,2779,Hovedstaden
21,Hjørring,"926,80",34.456,34.558,35.493,67.480,65.564,65.257,64.665,64.483,64.155,69,Nordjylland
22,Skanderborg,"416,90",19.142,19.669,21.066,54.751,58.444,61.158,61.974,62.678,63.390,152,Midtjylland
23,Helsingør,"118,90",56.566,56.701,59.492,61.340,61.658,62.686,62.567,62.695,63.000,530,Hovedstaden
24,Køge,"257,20",34.511,36.821,38.820,55.718,58.803,60.356,60.675,60.979,61.475,239,Sjælland
25,Guldborgsund,"900,60",...,...,...,63.451,60.954,61.219,60.930,60.722,60.328,67,Sjælland
26,Frederikshavn,"651,40",35.038,35.500,34.853,63.084,60.538,60.140,59.987,59.654,59.039,91,Nordjylland
27,Holstebro,"793,00",36.777,38.529,40.448,56.462,57.526,58.418,58.504,58.591,58.662,74,Midtjylland
28,Svendborg,"415,40",37.996,41.030,42.905,58.506,57.978,58.698,58.599,58.296,58.588,141,Syddanmark
29,Aabenraa,"940,70",21.172,21.463,22.020,59.974,59.048,59.089,59.035,58.761,58.526,62,Syddanmark
30,Rudersdal,"73,30",...,...,...,54.241,55.228,55.989,56.509,56.728,57.024,778,Hovedstaden
31,Lyngby-Taarbæk,"38,80",52.013,49.317,50.609,51.908,54.401,55.472,55.790,56.214,56.614,1459,Hovedstaden
32,Ringkøbing-Skjern,"1470,50",...,...,...,57.774,57.215,57.005,56.930,56.594,56.182,38,Midtjylland
33,Haderslev,"816,80",29.973,30.330,31.827,56.227,55.971,55.963,55.857,55.670,55.376,68,Syddanmark
34,Hvidovre,"22,90",50.608,48.748,49.270,49.762,52.047,53.282,53.416,53.527,53.451,2334,Hovedstaden
35,Høje-Taastrup,"78,30",43.292,44.382,45.948,46.257,48.982,50.596,50.686,50.759,51.729,661,Hovedstaden
36,Faaborg-Midtfyn,"633,90",...,...,...,51.144,51.096,51.536,51.809,51.556,51.683,82,Syddanmark
37,Hillerød,"213,50",33.686,33.388,36.453,45.584,48.796,50.650,50.998,51.183,51.528,241,Hovedstaden
38,Fredericia,"133,60",45.820,46.072,48.066,49.252,50.390,51.326,51.427,51.377,51.275,384,Syddanmark
39,Greve,"60,40",40.683,45.346,47.859,47.968,48.540,49.974,50.267,50.558,50.514,836,Sjælland
40,Varde,"1240,10",18.262,19.134,19.977,50.048,50.110,50.301,50.129,49.961,49.628,40,Syddanmark
41,Ballerup,"34,00",48.938,45.218,45.317,46.654,48.509,48.295,48.458,48.602,49.310,1450,Hovedstaden
42,Kalundborg,"575,30",19.388,19.321,19.405,48.944,48.379,48.982,48.681,48.436,48.487,84,Sjælland
43,Favrskov,"540,30",...,...,...,44.272,47.299,48.271,48.374,48.397,48.381,90,Midtjylland
44,Hedensted,"551,00",13.570,14.699,16.159,44.169,45.936,46.616,46.747,46.722,46.773,85,Midtjylland
45,Frederikssund,"248,50",15.655,16.859,17.859,43.734,44.555,45.189,45.332,45.223,45.439,183,Hovedstaden
46,Skive,"683,40",26.793,26.756,27.968,48.264,46.949,46.599,46.224,45.851,45.425,66,Midtjylland
47,Vordingborg,"619,50",19.561,20.041,20.226,46.410,45.422,46.087,45.816,45.566,45.268,73,Sjælland
48,Egedal,"125,90",...,...,...,39.948,42.441,43.000,43.335,43.354,43.696,347,Hovedstaden
49,Syddjurs,"689,80",...,...,...,40.430,41.714,42.468,42.768,42.962,43.168,63,Midtjylland
50,Thisted,"1073,90",30.011,29.634,29.499,45.910,44.249,43.716,43.660,43.423,43.160,40,Nordjylland
51,Vejen,"813,70",15.327,16.121,16.557,41.551,42.748,42.844,42.863,42.742,42.790,53,Syddanmark
52,Tårnby,"66,10",42.075,39.719,39.402,39.708,42.366,43.063,42.984,42.989,42.670,646,Hovedstaden
53,Mariagerfjord,"718,30",...,...,...,42.139,42.095,42.125,42.055,41.800,41.536,58,Nordjylland
54,Ikast-Brande,"733,50",...,...,...,39.528,40.763,41.191,41.282,41.369,41.473,57,Midtjylland
55,Rødovre,"12,20",38.020,35.350,36.317,36.506,37.589,39.343,40.052,40.652,41.113,3370,Hovedstaden
